Text,Frequency,Case,TF-IDF
RESEARCH,1446,54,607.2
BUSINESS,1831,75,507.6
RESEARCHER,516,21,428.3
EMPLOYEES,1448,75,401.4
SCIENTIST,356,18,319.3
LAWS,813,58,316.1
EMPLOYEE,706,60,264.1
SCIENTIFIC,542,48,255.3
CHEMIST,283,20,240.9
COMPLIANCE,1014,87,215.7
ENGINEER,202,14,203.2
INFORMATION,1972,114,188.1
SCIENCE,318,38,182.1
POLICY,469,59,178.9
DAYLIGHT,83,1,178.6
LEGAL,629,74,178.0
DATA,577,72,170.2
MANAGER,276,35,167.9
CUSTOMERS,407,55,167.7
DIRECTORS,315,44,160.3
BOARD,353,50,160.0
DEPARTMENT,324,46,158.6
PRODUCTS,423,60,158.3
GIFTS,327,47,157.0
RECORDS,289,41,155.9
ENGINEERING,219,28,154.4
CLIENT,262,38,150.0
REGULATIONS,359,55,147.9
LOCAL,365,56,147.5
CHEMICAL,319,50,144.6
ASSETS,293,46,143.4
APPLICABLE,430,66,143.1
POLICIES,388,61,142.4
PERSONAL,737,91,142.4
ENTERTAINMENT,242,37,141.3
CORPORATION,140,14,140.9
GROUP,328,53,140.4
MANAGEMENT,505,75,140.0
OIL,111,8,138.7
GOVERNMENT,368,60,137.7
COMMITTEE,339,56,137.0
INTERNAL,296,49,136.8
SUPPLIERS,312,52,136.1
SECTION,214,33,135.6
INSTITUTION,228,37,133.2
CUSTOMER,231,38,132.2
TRADE,275,47,132.1
CORPORATE,307,53,131.4
PUBLICATION,222,37,129.7
ACTION,488,78,127.0
PROCEDURES,269,48,126.7
INCLUDING,492,79,125.3
RESOURCES,374,66,124.4
EMPLOYER,267,49,123.4
ANIMAL,144,20,122.6
PRINCIPLES,280,52,122.2
SERVICES,265,50,120.1
POLITICAL,254,48,119.6
EMPLOYMENT,338,63,119.3
MEMBER,698,96,118.7
PARTICIPANTS,122,16,115.7
RIGHTS,376,71,113.2
CONCERNS,236,48,111.2
ETHICS,689,98,111.0
LINE,174,33,110.3
REQUIREMENTS,357,70,109.7
PARTNERS,251,52,109.5
SUBJECT,321,65,108.9
COUNTRIES,184,37,107.5
CODE,1384,119,106.2
PRESIDENT,115,17,106.0
CHEMISTRY,150,28,105.8
PROJECT,163,32,105.5
PAYMENTS,184,38,105.3
REPORT,449,83,104.7
SHAREHOLDERS,190,40,104.5
FINANCIAL,361,73,104.3
ORGANISATIONS,135,24,104.2
ENSURE,646,98,104.0
COMPANIES,257,56,103.9
SOCIETY,267,58,103.8
RISKS,237,52,103.4
COMPETITION,218,48,102.7
PERSON,329,70,101.1
PRACTICES,191,42,101.0
SECURITY,222,50,100.6
PROCEDURE,209,47,100.4
REPORTING,253,57,100.3
VALUES,238,54,99.9
RULES,228,52,99.5
CLINICAL,83,9,99.4
COUNSEL,110,18,98.7
FOLLOW,225,52,98.2
DECISIONS,185,42,97.9
AUTHORSHIP,109,18,97.8
PROPERTY,345,74,97.7
ACADEMY,78,8,97.4
HUMAN,427,84,97.4
OFFICIALS,144,30,97.2
LAW,566,96,96.2
PARTY,237,56,95.8
GUIDANCE,206,49,95.2
PARTIES,382,80,95.2
SUPERVISOR,143,31,94.5
TRIAL,51,2,94.4
REQUIRED,325,73,93.9
RELEVANT,353,77,93.8
PROFESSION,219,53,93.7
COMMUNICATIONS,177,42,93.6
COUNTRY,244,59,93.1
TRANSACTIONS,183,44,93.1
ACTIVITY,756,107,92.9
SYSTEM,189,46,92.5
CONFIDENTIAL,307,71,92.4
CONFLICT,439,88,91.2
LABORATORY,107,20,91.1
WORKPLACE,165,40,90.8
MAKE,481,92,90.7
COMMUNITIES,168,41,90.6
CONTACT,177,44,90.1
SUPPLIER,144,34,89.4
RESULTS,273,67,89.1
SOCIAL,247,62,88.9
ETHICAL,460,91,88.9
PRODUCT,161,40,88.6
RELATED,261,65,88.6
INTERNATIONAL,241,61,88.4
COMPETITORS,163,41,87.9
PROHIBITED,179,46,87.6
MATERIAL,274,68,87.6
DISCIPLINARY,175,45,87.3
GLOBAL,149,37,87.0
GUIDELINES,207,54,86.9
RESPECT,510,96,86.7
INCLUDE,222,58,86.3
VIOLATIONS,165,43,85.6
OPERATIONS,195,52,85.1
MEMBERS,160,42,84.6
SECURITIES,136,34,84.4
DOCUMENTS,208,56,84.1
MISCONDUCT,141,36,84.0
DUTIES,146,38,83.6
QUESTIONS,161,43,83.5
EXPORT,113,26,83.3
CONTROLS,123,30,83.0
INTEREST,675,107,83.0
INTELLECTUAL,197,54,82.7
HELPLINE,66,8,82.4
CORRUPTION,127,32,82.2
EXECUTIVE,138,36,82.2
TRAINING,224,61,82.2
HARASSMENT,158,43,82.0
COMPETITIVE,140,37,81.8
TIME,287,74,81.2
GENERAL,293,75,81.2
RESPONSIBILITIES,139,37,81.2
CONDUCT,1056,119,81.0
ENVIRONMENTAL,269,71,81.0
MONEY,120,30,81.0
AUDIT,133,35,80.9
PEOPLE,253,68,80.9
PARTICIPANT,52,4,80.6
DISCLOSURE,191,54,80.2
BRIBERY,124,32,80.2
GIFT,134,36,79.9
WORKING,260,70,79.9
JOB,142,39,79.7
COMMITTED,189,54,79.4
POTENTIAL,225,63,79.4
RESPONSIBLE,381,88,79.2
SAFETY,490,98,78.9
REGULATION,191,55,78.7
CONTRACTORS,137,38,78.4
PROTECTION,255,70,78.3
APPROVAL,179,52,78.1
NATIONAL,217,62,78.1
STUDENT,96,22,77.7
VIOLATION,166,49,76.7
DUTY,205,60,76.7
MARKET,118,32,76.4
OFFICER,123,34,76.4
PROFESSIONAL,529,102,76.0
MEDIA,146,43,75.7
CONFLICTS,127,36,75.7
MEANS,206,61,75.6
PRINCIPLE,297,79,75.6
RELATIONS,166,50,75.3
RESPONSIBILITY,538,103,75.0
FAMILY,128,37,74.8
REVIEW,199,60,74.5
INDUSTRY,120,34,74.5
COMMITMENT,146,44,74.3
DIRECTOR,110,30,74.3
SPEAK,96,24,74.1
RULE,157,48,74.0
ENVIRONMENT,530,103,73.9
ENTITIES,107,29,73.8
FINDINGS,91,22,73.7
RELATIONSHIPS,179,55,73.7
SYSTEMS,172,53,73.6
CONSULT,118,34,73.3
ACCESS,188,58,73.1
EXPECTED,161,50,73.0
GOOD,292,80,72.8
ARTICLE,81,18,72.7
PERFORMANCE,245,72,72.3
INSIDE,100,27,72.1
STAKEHOLDERS,126,38,72.1
WORK,937,119,71.9
ACCOUNTING,128,39,71.8
PEER,69,13,71.6
ILLEGAL,161,51,71.6
COUNCIL,90,23,71.2
HEAD,75,16,71.1
CORE,92,24,71.0
ORDER,231,70,71.0
UNDERSTAND,131,41,70.7
SANCTIONS,98,27,70.7
INCLUDES,131,41,70.7
COMMUNICATION,162,52,70.7
DEVELOPMENT,277,79,70.5
LAUNDERING,70,14,70.4
PRIVACY,125,39,70.2
INSIDER,120,37,70.1
OPERATE,143,46,70.0
AWARE,163,53,69.8
CONTROL,186,60,69.6
PART,230,71,69.2
PROVIDE,332,88,69.0
HEALTH,395,95,69.0
ADDITION,152,50,68.9
BODY,111,34,68.9
